,Facility,cust_x,cust_y,cust_dem
0,2,14.0,4.0,20
1,2,19.0,3.0,20
2,2,36.0,11.0,15
3,2,47.0,22.0,12
4,2,28.0,25.0,13
5,2,44.0,24.0,13
6,2,44.0,24.0,18
7,2,50.0,34.0,17
8,2,48.0,16.0,17
9,2,39.0,11.0,15
10,2,49.0,29.0,15
11,2,43.0,29.0,16
12,2,46.0,40.0,20
13,2,30.0,25.0,12
14,2,41.0,28.0,15
15,2,42.0,18.0,14
16,2,46.0,19.0,17
17,2,32.0,23.0,14
18,2,36.0,22.0,18
19,2,31.0,22.0,13
20,2,33.0,27.0,13
21,2,29.0,19.0,16
22,2,34.0,21.0,12
23,2,47.0,12.0,13
24,2,43.0,17.0,15
25,2,39.0,12.0,16
26,2,46.0,14.0,18
27,2,34.0,24.0,11
28,2,40.0,14.0,14
29,2,47.0,21.0,19
30,2,33.0,27.0,11
31,2,41.0,33.0,18
32,3,2.0,38.0,18
33,3,11.0,47.0,16
34,3,1.0,44.0,13
35,3,10.0,36.0,19
36,3,12.0,47.0,14
37,3,17.0,36.0,15
38,3,3.0,40.0,14
39,3,12.0,38.0,17
40,3,20.0,33.0,15
41,3,6.0,32.0,17
42,3,1.0,47.0,15
43,3,15.0,42.0,16
44,3,23.0,36.0,11
45,3,7.0,40.0,19
46,3,8.0,34.0,17
47,3,13.0,38.0,16
48,3,12.0,42.0,12
49,3,7.0,44.0,20
50,3,13.0,30.0,15
51,3,21.0,44.0,18
52,3,20.0,47.0,16
53,3,18.0,30.0,13
54,3,24.0,40.0,18
55,3,5.0,37.0,17
56,3,10.0,36.0,16
57,3,16.0,36.0,17
58,3,12.0,37.0,15
59,3,10.0,49.0,16
60,3,23.0,49.0,12
61,3,11.0,38.0,13
62,3,32.0,31.0,13
63,3,28.0,30.0,17
64,3,37.0,37.0,15
65,3,48.0,38.0,13
66,3,26.0,27.0,18
67,3,36.0,39.0,14
68,9,9.0,5.0,12
69,9,3.0,17.0,16
70,9,17.0,14.0,17
71,9,12.0,21.0,19
72,9,4.0,10.0,11
73,9,12.0,11.0,11
74,9,7.0,14.0,11
75,9,12.0,19.0,13
76,9,2.0,11.0,19
77,9,15.0,20.0,12
78,9,8.0,13.0,18
79,9,9.0,15.0,14
80,9,4.0,12.0,16
81,9,5.0,21.0,19
82,9,14.0,10.0,15
83,9,12.0,4.0,18
84,9,11.0,11.0,14
85,9,2.0,12.0,19
86,9,9.0,15.0,14
87,9,24.0,10.0,16
88,9,13.0,21.0,19
89,9,16.0,16.0,16
90,9,16.0,1.0,13
91,9,14.0,10.0,18
92,9,6.0,17.0,15
93,9,14.0,10.0,19
94,9,21.0,13.0,11
95,9,16.0,4.0,13
96,9,27.0,24.0,12
97,9,26.0,24.0,16
98,9,26.0,23.0,18
99,9,29.0,18.0,16
